Company Name,Industry,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change,Date,Daily Change,Performance
3M India Ltd.,Diversified,21950.0,21999.0,21126.05,21854.05,21575.0,-279.05,,4159,89653566.68,27800.0,17273.0,-10.18,8.22,2023-01-01 00:00:00.000,,0.7760791366906474
Aarti Drugs Ltd.,Healthcare,400.5,401.8,394.1,403.85,400.0,-3.85,-98.1460023174971,31782,12627306.42,749.75,378.0,-42.92,-5.10,2023-01-01 17:28:19.200,-21175.0,0.5335111703901301
Aavas Financiers Ltd.,Financial Services,1997.1,2004.05,1894.5,2015.45,1943.15,-72.30,385.7875,150704,290772818.72,3340.0,1815.0,-25.69,-9.39,2023-01-02 10:56:38.400,1543.15,0.5817814371257485
ABB India Ltd.,Capital Goods,2260.35,2311.5,2260.35,2300.9,2280.0,-20.90,17.33525461235621,97053,221093527.71,2487.85,1618.05,27.25,-5.21,2023-01-03 04:24:57.600,336.8499999999999,0.9164539662761019
Abbott India Ltd.,Healthcare,18700.4,19200.0,18605.0,18760.4,19199.8,439.40,742.0964912280702,12396,234676981.32,23934.45,15514.0,11.61,5.84,2023-01-03 21:53:16.800,16919.8,0.8021826279693078
Aditya Birla Capital Ltd.,Financial Services,89.0,90.6,88.35,89.4,90.25,0.85,-99.5299430202398,2401323,215182554.03,139.2,85.6,-23.75,-11.57,2023-01-04 15:21:36.000,-19109.55,0.6483477011494253
Aditya Birla Fashion and Retail Ltd.,Consumer Services,235.6,243.5,235.6,237.05,242.2,5.15,168.3656509695291,1014277,243548193.24,322.0,189.35,9.87,-12.62,2023-01-05 08:49:55.200,151.95,0.7521739130434782
Aditya Birla Sun Life AMC Ltd.,Financial Services,400.05,406.7,400.0,400.05,405.9,5.85,67.588769611891,34489,13901826.12,722.9,375.0,-,-5.09,2023-01-06 02:18:14.400,163.7,0.5614884493014248
ACC Ltd.,Construction Materials,2122.95,2174.0,2122.95,2121.95,2171.7,49.75,435.03325942350335,284645,613620612.3,2589.0,1900.0,5.32,-3.48,2023-01-06 19:46:33.600,1765.7999999999997,0.8388180764774044
Adani Enterprises Ltd.,Metals & Mining,2189.9,2242.0,2138.25,2190.9,2229.25,38.35,2.6499976976562145,2141743,4695578770.63,2420.95,1332.75,45.33,1.08,2023-01-07 13:14:52.800,57.55000000000018,0.920816208513187
Adani Green Energy Ltd.,Power,1928.0,1978.9,1902.0,1929.6,1963.25,33.65,-11.932264214421895,1206875,2344656406.25,3050.0,874.8,-,2.15,2023-01-08 06:43:12.000,-266.0,0.6436885245901639
Adani Ports and Special Economic Zone Ltd.,Services,670.0,680.0,656.0,672.05,678.3,6.25,-65.45014644085063,3151179,2105491760.64,924.65,651.95,-4.50,-9.16,2023-01-09 00:11:31.200,-1284.95,0.7335748661655761
Adani Transmission Ltd.,Power,2500.0,2583.7,2226.3,2473.65,2452.0,-21.65,261.49196520713554,741152,1847854989.44,3000.0,863.0,-,20.37,2023-01-09 17:39:50.400,1773.7,0.8173333333333334
Advanced Enzyme Tech Ltd.,Fast Moving Consumer Goods,266.2,268.7,258.4,266.2,264.0,-2.20,-89.23327895595432,40076,10549606.24,435.95,258.4,-35.78,-7.02,2023-01-10 11:08:09.600,-2188.0,0.6055740337194633
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,208.7,212.6,205.15,209.0,211.45,2.45,-19.905303030303035,247355,51731824.7,386.0,167.25,-39.22,-3.95,2023-01-11 04:36:28.800,-52.55000000000001,0.5477979274611399
Affle (India) Ltd.,Information Technology,1060.0,1060.3,1004.65,1060.3,1010.0,-50.30,377.6542917947506,241660,246983769.8,1511.0,763.02,-,0.78,2023-01-11 22:04:48.000,798.55,0.6684315023163467
AIA Engineering Ltd.,Capital Goods,2233.8,2242.45,2170.2,2223.8,2210.0,-13.80,118.81188118811883,42620,94240491.6,2350.0,1475.05,3.91,-2.37,2023-01-12 15:33:07.200,1200.0,0.9404255319148936
Ajanta Pharmaceuticals Ltd.,Healthcare,1233.0,1275.05,1229.35,1235.6,1265.9,30.30,-42.719457013574655,109740,137293519.2,2435.0,1186.0,-42.50,-27.87,2023-01-13 09:01:26.400,-944.0999999999999,0.5198767967145791
Alkem Laboratories Ltd.,Healthcare,2995.0,3035.0,2970.95,2998.55,3011.25,12.70,137.87423967138005,21837,65524757.31,4070.0,2828.0,-6.28,-4.78,2023-01-14 02:29:45.600,1745.35,0.7398648648648649
Alkyl Amines Chemicals Ltd.,Chemicals,2525.0,2609.9,2506.2,2517.65,2552.85,35.20,-15.222914072229143,26377,67248425.27,4749.0,2506.2,-30.00,-7.77,2023-01-14 19:58:04.800,-458.4000000000001,0.5375552747946936
Allcargo Logistics Ltd.,Services,259.0,271.5,256.0,262.95,269.0,6.05,-89.46275731045694,502907,133391052.68,412.0,152.5,64.50,-17.76,2023-01-15 13:26:24.000,-2283.85,0.6529126213592233
Alok Industries Ltd.,Textiles,22.3,22.3,21.5,22.0,21.55,-0.45,-91.98884758364312,1040692,22645457.92,35.8,18.85,-,-,2023-01-16 06:54:43.200,-247.45,0.6019553072625698
Amara Raja Batteries Ltd.,Automobile and Auto Components,459.1,471.7,456.05,458.7,469.5,10.80,2078.6542923433876,438273,202727558.88,781.6,438.05,-38.43,-8.69,2023-01-17 00:23:02.400,447.95,0.6006908904810645
Amber Enterprises India Ltd.,Consumer Durables,2251.0,2348.2,2251.0,2246.65,2325.0,78.35,395.2076677316294,85424,197744600.64,4025.95,2040.0,-23.22,-14.67,2023-01-17 17:51:21.600,1855.5,0.577503446391535
Ambuja Cements Ltd.,Construction Materials,363.95,368.6,362.1,363.0,367.5,4.50,-84.19354838709677,2763265,1011078663.5,442.5,274.0,6.56,-1.73,2023-01-18 11:19:40.800,-1957.5,0.8305084745762712
